0.00   13.5349
0.05   15.5419
0.10   15.8961
0.15   14.4643
0.20   12.7344
0.25   12.4460
0.30   13.9908
0.35   16.0525
0.40   16.8171
0.45   15.6420
0.50   13.6479
0.55   12.6903
0.60   13.6554
0.65   15.6480
0.70   16.8170
0.75   16.0601
0.80   14.0400
0.85   12.5783
0.90   12.9834
0.95   14.8502
1.00   16.4355
1.05   16.2628
1.10   14.4817
1.15   12.7324
1.20   12.6388
1.25   14.3164
1.30   16.2667
1.35   16.7548
1.40   15.4039
1.45   13.5411
1.50   12.9757
1.55   14.3339
1.60   16.4814
1.65   17.5632
1.70   16.7070
1.75   14.8218
1.80   13.7595
1.85   14.6088
